Station,District,BuiltDate
960,은평구,2018-10-18
961,은평구,2018-10-18
962,은평구,2018-10-18
963,은평구,2018-10-16
964,은평구,2018-10-16
965,은평구,2018-10-16
966,은평구,2018-08-28
967,은평구,2018-08-29
968,은평구,2018-10-18
969,은평구,2018-12-14
971,은평구,2018-12-14
972,은평구,2019-06-14
973,은평구,2020-04-08
974,은평구,2020-04-09
975,은평구,2020-04-10
976,은평구,2020-04-09
977,은평구,2020-04-08
978,은평구,2020-04-09
979,은평구,2020-04-10
982,은평구,2020-04-10
984,은평구,2020-04-10
985,은평구,2020-04-10
989,은평구,2020-04-10
991,은평구,2020-04-06
992,은평구,2020-04-06
993,은평구,2020-04-08
994,은평구,2020-04-09
995,은평구,2020-04-08
996,은평구,2020-04-10
4652,은평구,2020-08-20
4653,은평구,2020-11-03
4654,은평구,2020-11-03
115,서대문구,2020-11-05
116,서대문구,2015-09-07
117,서대문구,2015-09-07
123,서대문구,2015-09-07
128,서대문구,2015-09-07
131,서대문구,2015-09-07
133,서대문구,2015-09-07
134,서대문구,2020-10-29
135,서대문구,2015-09-07
137,서대문구,2015-09-07
138,서대문구,2015-09-07
139,서대문구,2015-09-07
140,서대문구,2015-09-07
141,서대문구,2015-09-07
158,서대문구,2016-06-29
159,서대문구,2016-06-29
160,서대문구,2016-06-29
161,서대문구,2016-06-29
162,서대문구,2016-06-29
163,서대문구,2016-06-29
164,서대문구,2016-06-29
165,서대문구,2016-06-29
166,서대문구,2016-06-29
167,서대문구,2016-06-29
169,서대문구,2016-06-29
170,서대문구,2016-06-29
171,서대문구,2016-06-29
173,서대문구,2016-06-29
175,서대문구,2016-06-29
176,서대문구,2017-04-24
177,서대문구,2016-07-06
178,서대문구,2016-07-06
179,서대문구,2016-06-29
180,서대문구,2016-06-29
188,서대문구,2016-07-06
191,서대문구,2016-07-06
192,서대문구,2016-07-06
194,서대문구,2016-07-06
195,서대문구,2016-07-06
196,서대문구,2016-07-06
198,서대문구,2016-07-06
3100,서대문구,2017-11-01
